20260323DT000000,20000.0,20148.94,19424.1013,19424.1013,0
20260324DT000000,19424.1013,19424.1013,19424.1013,19424.1013,0
20260325DT000000,19424.1013,19453.1013,19105.1013,19282.101727246096,0
20260326DT000000,19282.101727246096,19282.101727246096,18385.80298674873,18385.80298674873,0
20260327DT000000,18385.80298674873,18385.80298674873,17672.996425433546,17672.996425433546,0
20260330DT000000,17672.996425433546,17672.996425433546,17666.56,17666.56,0
20260331DT000000,17666.56,18353.620000000003,17419.06,18353.620000000003,0
20260401DT000000,18353.620000000003,19022.36,18353.620000000003,18784.76,0
20260402DT000000,18784.76,18784.76,18249.17,18781.79,0
20260406DT000000,18781.79,19027.31,18772.88,19016.42,0
20260407DT000000,19016.42,19125.31601217523,18442.079049478747,19125.31601217523,0
20260408DT000000,19125.31601217523,20657.65260649129,19125.31601217523,20645.618208131466,0
20260409DT000000,20645.618208131466,21118.10732301024,20501.904358029344,21075.869999999995,0
20260410DT000000,21075.869999999995,21172.89,20912.52,20950.14,0
20260413DT000000,20950.14,21581.760362548823,20534.34,21581.760362548823,0
20260414DT000000,21581.760362548823,22339.11,21581.760362548823,22309.41,0
20260415DT000000,22309.41,22890.54,22296.54,22825.2,0
20260416DT000000,22825.2,23108.34,22794.51,23028.15,0
20260417DT000000,23028.15,24037.95,23028.15,23879.55,0
20260420DT000000,23857.77,23857.77,23372.69,23440.31,0
20260421DT000000,23440.31,23686.29,22914.05,23006.17,0
20260422DT000000,23006.17,23698.05,23006.17,23698.05,0
