20260323DT000000,20000.00,20333.59,19605.76,20136.47,0
20260324DT000000,20136.47,20555.98,19989.89,20323.48,0
20260325DT000000,20323.48,20323.48,19661.36,19974.73,0
20260326DT000000,19974.73,20454.89,19582.91,19582.91,0
20260327DT000000,19582.91,19582.91,18598.69,18598.69,0
20260330DT000000,18598.69,18904.10,18185.36,18394.72,0
20260331DT000000,18394.72,19967.10,18394.72,19964.94,0
20260401DT000000,19964.94,20707.42,19964.94,20396.61,0
20260402DT000000,20396.61,20479.71,19494.42,20408.49,0
20260406DT000000,20408.49,20699.87,20408.49,20669.65,0
20260407DT000000,20669.65,20757.07,20042.64,20757.07,0
20260408DT000000,20757.07,22366.13,20757.07,22273.32,0
20260409DT000000,22273.32,22821.55,22178.35,22715.79,0
20260410DT000000,22715.79,22888.46,22581.97,22581.97,0
20260413DT000000,22581.97,23293.15,22425.48,23293.15,0
20260414DT000000,23293.15,24135.99,23293.15,24089.59,0
20260415DT000000,24089.59,24730.63,24089.59,24730.63,0
20260416DT000000,24730.63,24958.33,24577.38,24895.74,0
20260417DT000000,24895.74,25992.19,24888.19,25776.36,0
20260420DT000000,25776.36,25776.36,25375.98,25525.99,0
20260421DT000000,25525.99,25857.30,25040.35,25040.35,0
20260422DT000000,25040.35,25843.27,25040.35,25843.27,0
