strategy,tv_symbol,date,db_equity,existing_close,forensic_close,diff,diff_pct
QLD_Trend_Intraday,QLDT,2026-03-23,19669.30337,19669.30337,19669.30337,0.0,0.0
QLD_Trend_Intraday,QLDT,2026-03-24,19669.30337,19669.30337,19669.30337,0.0,0.0
QLD_Trend_Intraday,QLDT,2026-03-25,19553.80337,19553.80337,19553.80337,0.0,0.0
QLD_Trend_Intraday,QLDT,2026-03-26,19279.06847738279,19279.06847738279,19279.06847738279,0.0,0.0
QLD_Trend_Intraday,QLDT,2026-03-27,19256.99320592412,19256.99320592412,19256.99320592412,0.0,0.0
QLD_Trend_Intraday,QLDT,2026-03-30,19256.144662000002,19256.144662,19256.144662000002,3.637978807091713e-12,1.8892560639466353e-14
QLD_Trend_Intraday,QLDT,2026-03-31,19867.144662000002,19896.394662,19867.144662000002,-29.249999999996362,-0.14701155911357527
QLD_Trend_Intraday,QLDT,2026-04-01,20357.894662000002,20341.644662,20357.894662000002,16.250000000003638,0.07988537932903765
QLD_Trend_Intraday,QLDT,2026-04-02,20387.144662000002,20374.144662,20387.144662000002,13.000000000003638,0.06380635955849502
QLD_Trend_Intraday,QLDT,2026-04-06,20640.644662000002,20604.894662,20640.644662000002,35.75000000000364,0.17350246427580424
QLD_Trend_Intraday,QLDT,2026-04-07,20180.86071312189,20180.86071312189,20180.86071312189,0.0,0.0
QLD_Trend_Intraday,QLDT,2026-04-08,20175.434212489952,20175.434212489952,20175.434212489952,0.0,0.0
QLD_Trend_Intraday,QLDT,2026-04-09,20425.280000000002,20425.28,20425.280000000002,3.637978807091713e-12,1.7811157580663342e-14
QLD_Trend_Intraday,QLDT,2026-04-10,20434.25,20437.24,20434.25,-2.9900000000016007,-0.014630155539601241
QLD_Trend_Intraday,QLDT,2026-04-13,20676.440000000002,20852.8489050293,20676.440000000002,-176.40890502929688,-0.8459702836419176
QLD_Trend_Intraday,QLDT,2026-04-14,21603.34,21582.410000000003,21603.34,20.929999999996653,0.09697712164673292
QLD_Trend_Intraday,QLDT,2026-04-15,22204.33018249512,22153.5,22204.33018249512,50.830182495119516,0.22944538106899368
QLD_Trend_Intraday,QLDT,2026-04-16,22413.630000000005,22365.790000000005,22413.630000000005,47.840000000000146,0.2138981006260013
QLD_Trend_Intraday,QLDT,2026-04-17,22987.710000000003,23002.660000000003,22987.710000000003,-14.950000000000728,-0.06499248347800092
QLD_Trend_Intraday,QLDT,2026-04-20,22854.126794000003,22854.126794000003,22854.126794000003,0.0,0.0
QLD_Trend_Intraday,QLDT,2026-04-21,22854.126794000003,22854.126794000003,22854.126794000003,0.0,0.0
QQQ_Daily,QQQD,2026-03-23,20110.774999999998,20110.775,20110.774999999998,-3.637978807091713e-12,-1.8089699711183248e-14
QQQ_Daily,QQQD,2026-03-24,20256.364999999998,20250.035,20256.364999999998,6.329999999998108,0.031259205230993965
QQQ_Daily,QQQD,2026-03-25,20028.484999999997,20028.485,20028.484999999997,-3.637978807091713e-12,-1.8164023924384258e-14
QQQ_Daily,QQQD,2026-03-26,20434.34818741093,20434.34818741093,20434.34818741093,0.0,0.0
QQQ_Daily,QQQD,2026-03-27,20449.540996352964,20449.540996352964,20449.540996352964,0.0,0.0
QQQ_Daily,QQQD,2026-03-30,20209.726565000004,20170.486565000003,20209.726565000004,39.2400000000016,0.19454166300624187
QQQ_Daily,QQQD,2026-03-31,20889.766565,20902.726565000004,20889.766565,-12.960000000002765,-0.06200148081017947
QQQ_Daily,QQQD,2026-04-01,21144.286565,21141.766565,21144.286565,2.5199999999967986,0.011919533744964506
QQQ_Daily,QQQD,2026-04-02,21164.086565,21158.326565000003,21164.086565,5.759999999998399,0.0272233249747008
QQQ_Daily,QQQD,2026-04-06,21295.486565000003,21280.726565000004,21295.486565000003,14.7599999999984,0.06935853414081211
QQQ_Daily,QQQD,2026-04-07,21298.257245787823,21298.257245787823,21298.257245787823,0.0,0.0
QQQ_Daily,QQQD,2026-04-08,21931.485608491916,21931.48560849192,21931.485608491916,-3.637978807091713e-12,-1.6587926928593838e-14
