20260323DT000000,19994.1912,20079.20339492798,19848.165,20073.84,0
20260324DT000000,20201.2815,20227.83,19999.5,20137.56,0
20260325DT000000,19890.6439,19999.5,19850.820000000003,19949.0543,0
20260326DT000000,20044.3781,20251.4678,20007.621727605852,20251.4678,0
20260327DT000000,20493.4466,20493.4466,20232.737456222203,20232.7375,0
20260330DT000000,20338.061,20402.540500000003,20008.37519726563,20085.7205,0
20260331DT000000,20299.6197,20682.780500000004,20281.330500000004,20653.0205,0
20260401DT000000,20768.3416,20910.320500000005,20402.540500000003,20809.8805,0
20260402DT000000,20543.2794,20852.660500000005,20402.540500000003,20834.9905,0
20260406DT000000,20830.9603,20926.130500000003,20826.620500000005,20926.1305,0
20260407DT000000,20846.5267,20926.19501507513,20695.44283974113,20926.195,0
20260408DT000000,21469.1117,21471.12683269805,21359.343852354792,21457.3315,0
20260409DT000000,21430.4417,21610.96883958425,21407.540488035665,21587.61,0
20260410DT000000,21617.0595,21639.38,21534.29,21559.4,0
20260413DT000000,21404.0899,21767.099243164062,21401.609999999997,21673.48,0
20260414DT000000,21816.3894,22026.57,21767.099243164062,22026.26,0
20260415DT000000,22055.7111,22204.2,21982.55,22200.7908,0
20260416DT000000,22230.8608,22282.32,22156.77,22249.46,0
20260417DT000000,22385.24,22580.23,22249.45916748047,22509.24,0
20260420DT000000,22468.3218,22504.791016,22391.129395,22466.46,0
20260421DT000000,22516.0604,22578.06,22295.649999999998,22323.86,0
